BSSID,Level,Room,Model,Time
ac:4e:91:61:1f:c1,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:49:fd:41,-93,0,OPPO A57,2017/8/15 21:22
a8:58:40:59:a8:41,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8b:00,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:37:a1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:30:c1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:95:a1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8f:e0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8a:61,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:7e:e0,-110,0,OPPO A57,2017/8/15 21:22
c2:75:d5:80:84:cd,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:a2:e0,-110,0,OPPO A57,2017/8/15 21:22
a8:15:4d:f5:f1:26,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8b:a1,-90,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9d:a1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8a:60,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:34:00,-110,0,OPPO A57,2017/8/15 21:22
28:2c:b2:fd:07:b9,-110,0,OPPO A57,2017/8/15 21:22
ec:26:ca:d6:62:39,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:30:81,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:21:61,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8a:40,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:35:01,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:84:a0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:45:21,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:75:c0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8d:20,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:e0,-110,0,OPPO A57,2017/8/15 21:22
00:1e:a8:08:bc:a3,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:1f:e0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:93:a1,-110,0,OPPO A57,2017/8/15 21:22
a8:58:40:59:ac:81,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:36:81,-110,0,OPPO A57,2017/8/15 21:22
52:a5:89:79:19:ab,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:21:81,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:92:40,-110,0,OPPO A57,2017/8/15 21:22
b0:75:d5:5f:d4:57,-56,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:93:80,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:89:81,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:93:a0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:73:01,-110,0,OPPO A57,2017/8/15 21:22
dc:fe:18:58:fd:3a,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:21,-62,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:45:c0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:76:40,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:90:a1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:7e:61,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:79:61,-91,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:42:20,-110,0,OPPO A57,2017/8/15 21:22
38:46:08:c9:87:0c,-88,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:3d:c0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9e:a1,-110,0,OPPO A57,2017/8/15 21:22
b0:75:d5:80:84:cd,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9c:a1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:73:21,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:3f:c0,-86,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8a:20,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:99:c0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:99:01,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:71:e0,-80,0,OPPO A57,2017/8/15 21:22
